Year,Month,Region,Model,Estimated_Deliveries,Production_Units,Avg_Price_USD,Battery_Capacity_kWh,Range_km,CO2_Saved_tons,Source_Type,Charging_Stations
2019,1,Europe,Model X,6901,7866,114585.16,120,690,714.25,Interpolated (Month),6934
2020,8,Asia,Model Y,8893,9242,54689.38,75,413,550.92,Official (Quarter),5936
2019,4,Middle East,Model S,9594,10233,90358.15,60,359,516.64,Estimated (Region),5899
2016,12,Asia,Model S,20577,21279,117482.02,120,714,2203.8,Official (Quarter),11665
2020,10,Middle East,Model 3,12790,13152,90144.42,100,560,1074.36,Interpolated (Month),13339
2024,8,Europe,Model Y,8042,8208,97137.41,82,475,572.99,Official (Quarter),6533
2021,6,Europe,Cybertruck,11325,12940,51554.2,120,678,1151.75,Estimated (Region),14052
2020,3,Middle East,Model 3,14117,15703,69062.08,120,667,1412.41,Official (Quarter),6023
2023,9,Asia,Cybertruck,5515,5939,97302.27,82,490,405.35,Official (Quarter),6044
2021,6,Middle East,Model S,8875,9724,70170.65,60,337,448.63,Official (Quarter),11766
2024,7,North America,Model 3,12960,13431,104157.55,60,345,670.68,Estimated (Region),14135
2020,3,Asia,Model S,6935,7126,90385.53,82,457,475.39,Interpolated (Month),7274
2022,1,Middle East,Cybertruck,7872,7975,112547.42,100,569,671.88,Interpolated (Month),6760
2020,3,Asia,Model X,9500,9611,111688.06,75,415,591.38,Official (Quarter),11481
2025,3,Asia,Model Y,10220,10814,92915.06,100,552,846.22,Official (Quarter),9077
2015,4,Middle East,Cybertruck,6410,6747,58194.69,82,456,438.44,Estimated (Region),12138
2019,11,Asia,Model X,499,545,116233.08,120,694,51.95,Official (Quarter),9482
2018,5,Asia,Cybertruck,5386,5479,111829.15,60,342,276.3,Estimated (Region),7647
2022,9,Asia,Model X,12131,13532,82362.99,60,351,638.7,Estimated (Region),11831
2024,8,Asia,Model Y,8752,8801,92387.05,75,430,564.5,Interpolated (Month),4269
2023,10,Europe,Model S,11280,12141,87264.34,120,676,1143.79,Interpolated (Month),13939
2015,7,Asia,Model Y,8461,8784,97705.19,100,588,746.26,Official (Quarter),10147
2019,10,North America,Model S,10325,10402,60493.65,100,576,892.08,Estimated (Region),9909
2018,11,Asia,Model Y,11974,12019,98303.28,100,565,1014.8,Estimated (Region),3668
2018,11,Europe,Model Y,9189,9621,94495.17,120,681,938.66,Official (Quarter),4782
2018,6,North America,Model Y,15956,17939,104842.87,75,422,1010.01,Estimated (Region),14290
2021,5,Asia,Model 3,10336,11854,68779.32,60,331,513.18,Official (Quarter),11460
2020,1,Asia,Cybertruck,15152,16661,73685.75,60,358,813.66,Interpolated (Month),13946
2017,2,North America,Cybertruck,4224,4356,75809.5,60,341,216.06,Interpolated (Month),3628
2025,11,Europe,Model Y,8475,9309,95766.33,75,416,528.84,Interpolated (Month),6826
2023,4,Middle East,Model 3,4093,4244,50630.4,100,561,344.43,Estimated (Region),4652
2023,2,Middle East,Model Y,2972,3384,108025.09,75,416,185.45,Interpolated (Month),4297
2020,10,North America,Cybertruck,8208,8804,74849.66,75,424,522.03,Estimated (Region),14566
2018,9,Asia,Cybertruck,14260,14838,67415.43,60,358,765.76,Official (Quarter),6579
2018,6,Europe,Model Y,7570,8501,107843.86,75,434,492.81,Interpolated (Month),7237
2025,9,Asia,Model 3,13486,13929,97497.75,75,434,877.94,Estimated (Region),9635
2022,1,North America,Model Y,12149,12201,98287.47,120,688,1253.78,Official (Quarter),4492
2024,6,Europe,Model 3,12547,14095,66165.83,60,332,624.84,Official (Quarter),14753
2024,5,Asia,Model 3,10084,10225,62086.02,82,451,682.18,Interpolated (Month),10123
2024,3,Asia,Model Y,11566,12885,83989.63,82,465,806.73,Official (Quarter),8020
2017,9,Asia,Model X,5933,5952,75229.88,82,483,429.85,Estimated (Region),9794
2015,9,Asia,Model X,7909,8216,76578.47,82,475,563.52,Official (Quarter),6216
2015,2,Middle East,Model Y,11172,11180,61256.56,100,577,966.94,Official (Quarter),11302
2025,7,North America,Model 3,6187,6687,98364.44,100,571,529.92,Official (Quarter),13248
2017,12,Asia,Model Y,9237,9445,117765.35,100,572,792.53,Interpolated (Month),9018
2015,5,Asia,Model S,13489,13580,69667.42,120,717,1450.74,Interpolated (Month),13683
2020,1,Europe,Model S,16543,17897,75159.67,75,415,1029.8,Estimated (Region),5320
2024,11,Europe,Model Y,5572,5749,76203.53,100,563,470.56,Official (Quarter),4059
2022,8,Europe,Model X,5100,5665,77782.16,75,422,322.83,Official (Quarter),7505
2019,10,Middle East,Model S,10077,10790,84321.87,82,485,733.1,Interpolated (Month),12983
2020,7,North America,Cybertruck,9320,9944,50496.76,82,484,676.63,Interpolated (Month),7317
2015,11,Middle East,Model 3,20107,22594,74346.64,120,700,2111.23,Interpolated (Month),9788
2017,2,Asia,Model S,10163,10570,108483.62,82,451,687.53,Official (Quarter),7549
2022,1,North America,Model S,20667,23519,53441.1,82,474,1469.42,Interpolated (Month),13243
2017,1,Middle East,Cybertruck,13497,14260,117485.49,75,415,840.19,Official (Quarter),11244
2024,2,North America,Model Y,6847,7872,80315.33,120,702,720.99,Interpolated (Month),5191
2022,9,Middle East,Model 3,14126,14145,52308.39,82,485,1027.67,Estimated (Region),11208
2020,10,Europe,Model Y,2923,3338,108972.49,75,439,192.48,Estimated (Region),3935
2021,4,Middle East,Cybertruck,10226,10533,64770.47,82,479,734.74,Interpolated (Month),5636
2024,12,Middle East,Model Y,6349,7036,106746.6,120,684,651.41,Interpolated (Month),11957
2023,8,Middle East,Model 3,10874,12275,55370.92,60,333,543.16,Official (Quarter),8942
2021,6,North America,Model S,9313,10131,118325.48,120,691,965.29,Official (Quarter),13863
2020,1,Middle East,Model X,19577,21213,101984.52,60,338,992.55,Interpolated (Month),9779
2020,11,Middle East,Model 3,8660,8911,64726.05,75,413,536.49,Interpolated (Month),13760
2024,3,Middle East,Model Y,10989,12555,119912.5,82,466,768.13,Interpolated (Month),6585
2021,12,Middle East,Model 3,8284,9097,99652.0,100,579,719.47,Interpolated (Month),7286
2019,12,Middle East,Model X,14160,15916,89385.88,120,705,1497.42,Estimated (Region),11563
2021,6,North America,Model X,7939,8893,92306.65,60,335,398.93,Official (Quarter),8937
2018,12,Asia,Model Y,11849,13148,103882.26,82,490,870.9,Interpolated (Month),9882
2018,2,Asia,Model S,14166,16177,78014.86,100,589,1251.57,Official (Quarter),6191
2015,12,Asia,Cybertruck,4993,5640,83124.69,100,598,447.87,Official (Quarter),5226
2018,1,Asia,Model X,3922,4416,65486.71,120,682,401.22,Official (Quarter),12700
2025,12,Asia,Model X,13671,15308,67998.03,60,348,713.63,Estimated (Region),8520
2019,10,Middle East,Model 3,3237,3475,90094.08,120,674,327.26,Official (Quarter),12527
2024,6,Europe,Model S,9874,11229,119242.89,100,593,878.29,Official (Quarter),14973
2020,1,Europe,Cybertruck,8186,8985,107716.19,60,342,419.94,Interpolated (Month),3877
2019,6,Europe,Model S,14287,16241,80739.15,75,413,885.08,Interpolated (Month),7347
2023,12,Middle East,Model 3,9203,10426,101084.08,60,334,461.07,Interpolated (Month),9789
2019,6,North America,Model X,6397,7290,51725.11,82,479,459.62,Estimated (Region),11703
2019,11,Europe,Model X,10964,12047,119238.77,120,675,1110.1,Official (Quarter),11064
2021,3,Asia,Model X,11349,11618,81896.26,100,580,987.36,Estimated (Region),11302
2024,1,Middle East,Cybertruck,9756,10011,93531.74,60,330,482.92,Interpolated (Month),7794
2018,9,North America,Cybertruck,10028,10999,85739.93,60,333,500.9,Estimated (Region),6744
2015,8,North America,Model Y,14575,16529,105201.8,120,669,1462.6,Estimated (Region),6740
2025,10,Asia,Model 3,15394,15397,89197.49,120,695,1604.82,Official (Quarter),14664
2018,7,Asia,Model S,11739,13264,54173.21,100,584,1028.34,Interpolated (Month),4679
2017,12,Middle East,Model X,16989,17788,98373.91,82,462,1177.34,Estimated (Region),5287
2025,6,Europe,Model X,9221,10089,108823.54,120,668,923.94,Official (Quarter),13264
2016,2,North America,Cybertruck,13985,14888,67410.0,100,580,1216.69,Interpolated (Month),11481
2015,4,Middle East,Model S,10084,11453,56390.07,100,565,854.62,Estimated (Region),14400
2016,8,Middle East,Model S,3747,4007,113645.41,120,692,388.94,Estimated (Region),8973
2024,5,North America,Model X,13980,15377,110956.73,100,593,1243.52,Interpolated (Month),9947
2025,4,Asia,Model 3,8438,9651,94711.75,100,592,749.29,Interpolated (Month),9480
2016,8,Middle East,Model 3,11195,12575,76629.4,60,353,592.78,Interpolated (Month),14573
2020,9,Europe,Model S,3028,3350,53637.63,82,486,220.74,Official (Quarter),8499
2024,3,North America,Model 3,7874,7878,84682.14,60,333,393.31,Estimated (Region),12052
2022,12,North America,Model Y,14239,15200,72759.3,75,430,918.42,Interpolated (Month),12824
2017,6,Middle East,Model S,11053,11464,65008.45,75,422,699.65,Official (Quarter),5970
2023,10,Europe,Cybertruck,4070,4344,95267.09,100,597,364.47,Official (Quarter),12534
2020,5,Middle East,Model 3,9239,9839,105978.43,100,586,812.11,Official (Quarter),8115
2022,8,North America,Model 3,15396,17005,91077.43,120,709,1637.36,Interpolated (Month),3867
2018,8,Asia,Model X,11344,11779,65445.57,82,456,775.93,Official (Quarter),13309
2021,6,Europe,Model Y,2784,2834,99246.98,60,349,145.74,Interpolated (Month),7487
2015,2,Middle East,Model 3,5052,5602,112797.72,75,445,337.22,Official (Quarter),12358
2024,4,Europe,Model S,9469,10565,114960.61,100,563,799.66,Official (Quarter),7018
2023,12,North America,Model Y,9486,9874,71183.56,75,435,618.96,Estimated (Region),8259
2024,5,Europe,Cybertruck,8761,8977,52950.53,75,429,563.77,Interpolated (Month),12614
2019,1,Middle East,Model X,13208,14709,69734.28,60,339,671.63,Estimated (Region),14095
2021,7,Asia,Model 3,8967,9082,62842.05,60,352,473.46,Interpolated (Month),3263
2019,9,North America,Model X,1930,2093,114172.92,60,354,102.48,Interpolated (Month),8413
2022,11,Asia,Model X,7397,7921,97398.92,60,356,395.0,Estimated (Region),11990
2017,10,Middle East,Model S,11917,12332,59077.53,60,337,602.4,Official (Quarter),7263
2018,1,Europe,Model Y,2368,2385,53693.57,100,584,207.44,Official (Quarter),8495
2016,9,Asia,Model X,11133,11512,108592.88,100,563,940.18,Estimated (Region),10714
2021,4,Middle East,Model 3,8550,8715,82792.29,120,695,891.34,Estimated (Region),3371
2021,11,Europe,Cybertruck,7825,8121,106751.13,60,358,420.2,Interpolated (Month),4631
2018,6,Europe,Model S,128,143,116537.3,82,451,8.66,Official (Quarter),14790
2017,7,Middle East,Model 3,7161,7274,65565.29,100,575,617.64,Estimated (Region),10293
2015,6,Asia,Cybertruck,7201,8144,114461.07,75,414,447.18,Estimated (Region),6322
2016,9,Middle East,Model X,6101,6994,57750.44,60,342,312.98,Estimated (Region),3504
2021,10,Europe,Model S,9675,10252,85954.34,82,483,700.95,Official (Quarter),7483
2025,10,Europe,Model Y,8720,9521,98179.93,100,575,752.1,Official (Quarter),8707
2015,5,Europe,Cybertruck,10050,10998,98702.41,75,429,646.72,Estimated (Region),10530
2023,9,North America,Model X,15098,15229,115038.14,82,460,1041.76,Interpolated (Month),14996
2018,2,Asia,Model Y,11445,11972,88252.1,60,342,587.13,Estimated (Region),4922
2021,10,Asia,Model S,3157,3343,77143.5,100,564,267.08,Official (Quarter),6222
2015,1,Asia,Model 3,8795,9165,87988.73,82,456,601.58,Official (Quarter),12626
2016,3,North America,Cybertruck,13927,15011,83542.73,75,413,862.78,Estimated (Region),7094
2019,6,Europe,Model 3,12163,13001,53857.11,75,428,780.86,Estimated (Region),8628
2019,12,Asia,Model 3,11220,12431,56029.5,60,343,577.27,Estimated (Region),5087
2021,1,North America,Model S,10139,10942,106742.27,60,352,535.34,Estimated (Region),10965
2025,4,Asia,Model Y,9751,10553,50245.76,100,552,807.38,Interpolated (Month),5410
2025,4,Asia,Model X,11382,12375,110681.15,82,490,836.58,Official (Quarter),11104
2024,12,Europe,Model Y,6662,7463,114055.37,82,482,481.66,Official (Quarter),12869
2021,7,Europe,Model Y,14909,15392,91361.03,75,446,997.41,Estimated (Region),12573
2024,6,Europe,Cybertruck,9170,9703,62992.28,120,707,972.48,Interpolated (Month),7992
2022,1,Europe,Model X,15237,17350,57875.29,75,416,950.79,Estimated (Region),6996
2018,7,Asia,Model 3,11901,12643,88401.19,75,427,762.26,Estimated (Region),9235
2024,3,Europe,Model X,9744,10496,59151.43,82,459,670.87,Interpolated (Month),10874
2018,9,Middle East,Model S,15810,17649,77518.53,120,668,1584.16,Official (Quarter),3128
2017,1,Middle East,Model 3,8688,9781,50267.39,75,421,548.65,Estimated (Region),11890
2022,6,North America,Model X,15131,16082,63579.58,75,423,960.06,Official (Quarter),9061
2016,5,Middle East,Model S,16846,19100,116873.43,60,353,892.0,Interpolated (Month),6784
2017,2,Middle East,Model S,12872,14359,106500.89,82,455,878.51,Estimated (Region),6186
2020,8,Europe,Model Y,4607,5003,94618.32,82,473,326.87,Interpolated (Month),11859
2019,3,Middle East,Model S,12284,12804,69530.58,75,427,786.79,Official (Quarter),14985
2025,4,Middle East,Cybertruck,11544,11617,91072.84,75,422,730.74,Official (Quarter),3389
2022,6,North America,Model 3,6816,7670,61385.66,82,486,496.89,Official (Quarter),11241
2022,6,Europe,Model S,12296,13578,78661.36,82,486,896.38,Estimated (Region),6575
2023,8,Asia,Model S,7201,7619,92014.18,60,345,372.65,Interpolated (Month),11334
2016,6,Middle East,Model 3,13013,14255,103278.51,120,669,1305.85,Interpolated (Month),8538
2025,6,Asia,Cybertruck,8638,8830,99142.5,82,480,621.94,Estimated (Region),11090
2020,6,Asia,Model X,7718,7890,85698.96,60,343,397.09,Interpolated (Month),13809
2021,10,Middle East,Model S,10632,11812,87998.9,60,345,550.21,Official (Quarter),7173
2017,4,Asia,Model S,416,466,108507.81,75,424,26.46,Official (Quarter),11323
2020,2,Europe,Model X,10403,11265,58031.94,60,333,519.63,Official (Quarter),9354
2024,10,Middle East,Cybertruck,11501,12292,91552.48,60,338,583.1,Estimated (Region),10750
2018,12,Middle East,Model X,13653,14025,80124.26,75,418,856.04,Estimated (Region),11479
2022,5,Asia,Model Y,4849,5434,75892.2,75,436,317.12,Interpolated (Month),11704
2023,12,North America,Model 3,5102,5378,109654.99,75,433,331.37,Interpolated (Month),11614
2019,3,Europe,Model Y,9962,10229,112379.81,75,429,641.05,Estimated (Region),11516
2019,7,Asia,Model X,8330,8492,95040.03,75,419,523.54,Estimated (Region),4171
2024,10,Asia,Model Y,9150,10087,115850.2,82,478,656.05,Official (Quarter),13455
2019,2,Middle East,Model 3,9029,9256,74835.81,82,467,632.48,Official (Quarter),3688
2021,12,Middle East,Cybertruck,12810,13469,78749.03,60,351,674.45,Estimated (Region),9138
2015,8,Asia,Model Y,15381,16421,57926.66,60,359,828.27,Estimated (Region),13066
2017,6,North America,Model S,9078,10082,99318.81,82,468,637.28,Official (Quarter),7158
2021,2,Asia,Model S,11057,11975,115158.3,75,412,683.32,Official (Quarter),11978
2017,12,North America,Model Y,11318,12678,77446.55,82,481,816.59,Estimated (Region),4505
2020,1,Asia,Model X,10621,10724,82600.79,75,421,670.72,Official (Quarter),8637
2018,9,Middle East,Model 3,11696,12343,75003.46,60,340,596.5,Official (Quarter),9246
2017,1,Europe,Model X,10853,10934,55103.13,120,684,1113.52,Official (Quarter),6543
2017,4,Middle East,Cybertruck,15689,17358,61712.49,75,441,1037.83,Interpolated (Month),10005
2019,10,North America,Model 3,9848,10801,51187.84,75,448,661.79,Interpolated (Month),3535
2019,8,Middle East,Cybertruck,16904,17438,66570.43,100,581,1473.18,Official (Quarter),12959
2017,2,Asia,Model X,249,268,91659.22,75,412,15.39,Official (Quarter),8569
2017,8,Asia,Model Y,1177,1215,96317.9,120,689,121.64,Interpolated (Month),3063
2024,6,Middle East,Model 3,13451,13642,72453.51,82,466,940.22,Interpolated (Month),10471
2021,12,North America,Cybertruck,5022,5211,62150.05,60,358,269.68,Official (Quarter),13255
2019,3,Asia,Model X,11583,12335,87487.97,100,573,995.56,Official (Quarter),7670
2023,1,Asia,Model 3,6659,7582,77831.43,120,697,696.2,Estimated (Region),12357
2019,10,Asia,Model S,7860,8594,74924.71,82,483,569.46,Estimated (Region),5804
2025,4,Middle East,Model 3,14345,15265,94878.36,82,490,1054.36,Interpolated (Month),13075
2015,6,Middle East,Model 3,8899,9724,75823.95,100,573,764.87,Estimated (Region),11969
2018,2,North America,Model S,7777,8238,62724.52,100,557,649.77,Estimated (Region),12927
2025,2,Middle East,Model Y,7540,8505,90014.78,82,469,530.44,Estimated (Region),4795
2023,3,Asia,Cybertruck,8116,8848,92442.19,75,426,518.61,Estimated (Region),13853
2019,7,North America,Model 3,11549,12620,104702.35,120,702,1216.11,Official (Quarter),13013
2022,7,Asia,Model S,13013,13750,82457.31,60,332,648.05,Estimated (Region),10307
2018,6,Asia,Model S,11866,12603,117056.21,60,346,615.85,Interpolated (Month),10261
2015,6,Middle East,Cybertruck,14478,15062,76409.89,75,413,896.91,Official (Quarter),6864
2017,9,Middle East,Model 3,10579,11779,80960.57,75,439,696.63,Estimated (Region),7670
2025,1,Europe,Cybertruck,10166,11068,101384.48,100,575,876.82,Interpolated (Month),12767
2024,11,Asia,Model S,6687,7081,54489.47,120,673,675.05,Estimated (Region),12514
2025,10,North America,Model X,16033,16582,79611.01,82,473,1137.54,Official (Quarter),13663
2017,8,Middle East,Model S,12673,14159,102622.29,60,354,672.94,Estimated (Region),9216
2016,7,Europe,Cybertruck,13821,14501,80381.36,100,554,1148.53,Estimated (Region),5647
2016,2,Europe,Model Y,12910,12986,58547.69,60,343,664.22,Interpolated (Month),14206
2015,3,Europe,Model 3,6612,7456,72184.54,82,457,453.25,Official (Quarter),9681
2019,2,Asia,Model 3,10886,11220,105859.86,60,352,574.78,Interpolated (Month),3765
2018,8,Middle East,Model 3,6056,6666,101051.69,75,434,394.25,Official (Quarter),5481
2018,3,Asia,Model Y,17318,18386,79924.05,120,679,1763.84,Estimated (Region),9770
2020,1,Middle East,Cybertruck,6748,7252,73067.13,75,429,434.23,Interpolated (Month),13283
2019,9,Europe,Model 3,10984,11720,104458.95,60,336,553.59,Estimated (Region),4974
2015,1,North America,Cybertruck,6367,6802,104962.32,82,459,438.37,Estimated (Region),9170
2021,8,Middle East,Model S,10233,11730,73326.92,120,695,1066.79,Estimated (Region),4082
2019,6,Middle East,Model X,11186,11734,74473.01,120,695,1166.14,Interpolated (Month),6290
2018,6,Middle East,Model X,17589,17847,53084.61,60,335,883.85,Interpolated (Month),9495
2017,11,North America,Model 3,6667,7125,100750.43,100,578,578.03,Estimated (Region),11006
2022,2,Middle East,Model S,4371,4439,106904.99,75,413,270.78,Interpolated (Month),10907
2024,2,Middle East,Model X,12916,13789,79672.98,60,345,668.4,Interpolated (Month),14340
2019,10,Europe,Model Y,10554,11418,56263.12,100,570,902.37,Official (Quarter),13239
2017,5,Asia,Cybertruck,2895,3028,74707.1,60,348,151.12,Official (Quarter),7008
2015,3,Asia,Model S,12060,13504,95497.48,82,479,866.51,Official (Quarter),12549
2018,7,Asia,Model Y,16516,18763,119407.29,75,420,1040.51,Official (Quarter),7265
2023,4,North America,Model X,12491,12935,70206.64,100,596,1116.7,Official (Quarter),12908
2022,8,North America,Model Y,17669,18984,107730.62,120,684,1812.84,Official (Quarter),4228
2018,6,Asia,Model Y,7543,7633,80928.36,100,558,631.35,Official (Quarter),5213
2019,8,Middle East,Model S,11957,12248,117182.2,82,485,869.87,Estimated (Region),13365
2019,11,Europe,Model 3,9749,11099,88137.73,120,676,988.55,Interpolated (Month),11428
2022,12,Europe,Model 3,13091,14830,101032.36,120,715,1404.01,Interpolated (Month),6991
2019,1,Asia,Model 3,12370,13923,66787.4,75,419,777.45,Official (Quarter),9058
2016,8,Middle East,Cybertruck,14320,14659,98712.94,60,353,758.24,Estimated (Region),6801
2015,1,Middle East,Cybertruck,8803,9344,102888.58,60,336,443.67,Interpolated (Month),3923
2017,11,North America,Cybertruck,9790,10499,108676.13,60,340,499.29,Interpolated (Month),13317
2015,2,Middle East,Model S,5076,5146,112805.1,60,357,271.82,Interpolated (Month),10597
2025,5,Middle East,Model Y,9312,10589,59818.7,60,346,483.29,Interpolated (Month),10117
2017,3,North America,Cybertruck,16322,16958,74163.45,82,488,1194.77,Estimated (Region),6486
2018,11,North America,Model S,9342,9740,70227.8,82,466,653.01,Official (Quarter),7719
2022,9,North America,Model 3,11967,12515,102122.26,75,414,743.15,Official (Quarter),5631
2022,11,Asia,Model S,12632,13778,92986.35,120,691,1309.31,Interpolated (Month),4102
2017,3,Middle East,Model X,11422,13008,66007.37,82,477,817.24,Estimated (Region),5664
2022,2,Europe,Model S,3095,3369,101539.59,60,347,161.09,Interpolated (Month),3801
2025,10,North America,Model 3,5566,5721,63888.05,100,573,478.4,Estimated (Region),8899
2016,1,Europe,Model S,8875,9097,57319.75,82,477,635.01,Official (Quarter),11477
2018,4,North America,Cybertruck,5716,6185,62225.3,75,423,362.68,Official (Quarter),10965
2020,11,Europe,Cybertruck,10137,10384,112652.37,100,584,888.0,Official (Quarter),5998
2015,8,Asia,Cybertruck,10222,11128,77930.19,60,331,507.52,Official (Quarter),7022
2022,1,Europe,Model 3,4738,5389,59378.24,120,700,497.49,Estimated (Region),3052
2017,8,Europe,Model S,13987,15741,107497.19,75,444,931.53,Official (Quarter),8821
2025,7,Asia,Model X,16163,18239,71701.14,82,467,1132.22,Estimated (Region),7278
2020,8,Europe,Model 3,11092,11149,84829.63,100,557,926.74,Official (Quarter),5195
2017,5,Europe,Cybertruck,8571,8637,85335.69,75,439,564.4,Interpolated (Month),13351
2022,4,Middle East,Model Y,14998,16569,99275.51,120,689,1550.04,Official (Quarter),13978
2022,7,Middle East,Model 3,14063,14945,80859.86,100,581,1225.59,Official (Quarter),12293
2023,8,Europe,Model S,10073,11143,59410.18,60,354,534.88,Interpolated (Month),10273
2015,7,Europe,Model X,6676,7646,110585.5,100,590,590.83,Estimated (Region),6094
2025,11,Middle East,Cybertruck,12586,14301,106595.93,82,487,919.41,Estimated (Region),3139
2023,5,Europe,Model 3,9249,10571,110580.06,100,564,782.47,Estimated (Region),4911
2019,2,North America,Model S,9582,10448,55580.06,120,700,1006.11,Interpolated (Month),14190
2025,11,Middle East,Model 3,4645,4827,65577.08,82,480,334.44,Interpolated (Month),4017
2015,10,Asia,Model S,9702,9971,87933.07,100,593,862.99,Estimated (Region),11786
2019,9,Middle East,Cybertruck,9845,11013,64063.79,75,442,652.72,Official (Quarter),13201
2019,2,Asia,Model X,3999,4181,118806.28,120,698,418.7,Estimated (Region),11612
2017,11,Middle East,Cybertruck,15553,16347,85740.65,100,580,1353.11,Official (Quarter),13927
2017,7,Europe,Model 3,8884,8977,62995.27,100,583,776.91,Interpolated (Month),13580
2015,10,North America,Model S,11024,12017,96552.57,100,558,922.71,Interpolated (Month),13972
2016,4,North America,Model 3,4520,4991,78302.31,82,468,317.3,Interpolated (Month),11611
2025,3,Europe,Model Y,10934,11208,118491.97,82,466,764.29,Interpolated (Month),4283
2019,6,North America,Model S,10583,11908,99724.61,75,416,660.38,Interpolated (Month),11831
2025,5,Asia,Model S,10564,10708,80551.39,100,579,917.48,Official (Quarter),9264
2025,7,Asia,Model Y,7894,8880,53104.28,120,678,802.82,Interpolated (Month),11152
2019,6,Europe,Cybertruck,1126,1171,72096.79,120,667,112.66,Interpolated (Month),10866
2024,3,Europe,Model S,8148,8654,53118.96,82,483,590.32,Official (Quarter),11144
2020,3,North America,Model Y,12915,14450,63083.51,100,553,1071.3,Official (Quarter),14982
2015,1,Middle East,Model 3,11446,12752,89289.4,100,588,1009.54,Estimated (Region),8925
2025,12,North America,Model X,6293,6849,67797.67,82,461,435.16,Estimated (Region),8860
2017,4,Europe,Model 3,17905,19292,103114.34,120,676,1815.57,Official (Quarter),7236
2017,9,Middle East,Model Y,11470,11834,119694.18,75,449,772.5,Estimated (Region),10794
2024,12,North America,Model X,13738,14740,59411.99,120,677,1395.09,Interpolated (Month),10949
2025,1,Asia,Model X,12017,12840,72979.06,82,457,823.77,Official (Quarter),5011
2021,4,North America,Cybertruck,9651,10024,111944.87,120,694,1004.67,Interpolated (Month),5653
2018,12,Middle East,Cybertruck,12282,13313,110055.44,100,583,1074.06,Interpolated (Month),8224
2024,9,Asia,Model 3,11553,12716,77241.52,120,689,1194.0,Official (Quarter),14878
2018,4,Middle East,Model X,13505,14142,56765.14,100,558,1130.37,Estimated (Region),14848
2015,12,Europe,Model S,11116,12262,54748.59,60,339,565.25,Official (Quarter),11498
2023,8,Asia,Cybertruck,12453,13590,78824.74,60,344,642.57,Interpolated (Month),7974
2022,6,Middle East,Cybertruck,4608,4831,72308.81,120,686,474.16,Estimated (Region),10514
2025,11,Europe,Model X,7622,8449,63017.43,100,595,680.26,Official (Quarter),12934
2024,6,Middle East,Model X,6679,6837,110242.31,75,429,429.79,Estimated (Region),14004
2023,9,Europe,Model S,6918,7421,74773.41,120,713,739.88,Estimated (Region),4990
2022,1,Asia,Model Y,9065,9932,94010.5,82,473,643.16,Estimated (Region),14836
2019,5,Europe,Model S,14511,15227,98536.43,120,705,1534.54,Estimated (Region),6649
2016,12,Europe,Cybertruck,8855,9679,64091.85,120,683,907.19,Interpolated (Month),3473
2018,12,Asia,Cybertruck,14998,15151,112817.81,100,555,1248.58,Interpolated (Month),6934
2025,11,Middle East,Model Y,15263,17269,109649.77,60,358,819.62,Interpolated (Month),9976
2017,8,Middle East,Cybertruck,14286,15301,100147.8,75,422,904.3,Official (Quarter),5427
2025,3,Asia,Model 3,12262,13318,106918.42,100,589,1083.35,Official (Quarter),13681
2020,1,Middle East,Model Y,9318,10366,98538.06,120,719,1004.95,Official (Quarter),6334
2019,10,Middle East,Model Y,9541,9782,82247.1,60,339,485.16,Interpolated (Month),3421
2020,11,Middle East,Model S,6085,6176,71674.23,60,349,318.55,Estimated (Region),10989
2025,12,Europe,Model S,11374,11433,82811.35,60,341,581.78,Official (Quarter),4642
2021,5,Europe,Model X,12865,13825,108926.61,60,354,683.13,Official (Quarter),7926
2025,9,Asia,Model X,12084,13554,65151.02,75,442,801.17,Interpolated (Month),7795
2020,6,North America,Model S,12434,12801,64947.62,100,583,1087.35,Interpolated (Month),7860
2025,7,Europe,Model 3,16165,17476,114908.59,60,357,865.64,Interpolated (Month),9152
2021,9,North America,Model Y,11828,12035,119010.09,120,678,1202.91,Official (Quarter),4563
2015,9,North America,Model S,8924,9038,119781.2,120,690,923.63,Official (Quarter),10144
2022,2,North America,Cybertruck,10571,11285,50815.14,60,346,548.63,Estimated (Region),10938
2018,12,Middle East,Model 3,8351,9440,56169.41,75,441,552.42,Estimated (Region),13170
2025,9,Europe,Model X,6319,6848,110295.39,60,354,335.54,Estimated (Region),6384
2018,8,Middle East,Model X,8863,9533,71853.28,120,685,910.67,Official (Quarter),10742
2022,12,Middle East,Cybertruck,13911,14029,118494.61,60,347,724.07,Interpolated (Month),9683
2022,11,North America,Cybertruck,10470,10759,70714.84,75,439,689.45,Official (Quarter),4011
2024,3,North America,Model S,3907,4416,80241.74,82,484,283.65,Estimated (Region),6160
2015,5,Middle East,Model Y,3622,3652,110530.57,60,354,192.33,Interpolated (Month),14996
2025,5,Middle East,Model 3,6902,7018,100871.84,120,716,741.27,Official (Quarter),10328
2016,1,Asia,Model Y,10480,10885,82383.61,82,486,763.99,Interpolated (Month),11726
2015,6,North America,Model Y,7006,7585,89265.66,75,445,467.65,Official (Quarter),7841
2021,1,Europe,Model S,16493,17525,101147.53,100,576,1425.0,Official (Quarter),3890
2021,1,North America,Model Y,1385,1505,100007.13,75,446,92.66,Interpolated (Month),11465
2021,11,Europe,Model Y,9990,10820,89118.86,82,479,717.78,Estimated (Region),5129
